Type|Name|Parameter|Class|Producer|Unit
Metric|WriteTime|sda|Disk|SysBlockStat|s
Metric|Writes|nvme0n1|Disk|SysBlockStat|count
Metric|Writes|sda|Disk|SysBlockStat|count
Metric|gpu_dec_utilization|average|GPU|GPUSampler|%
Metric|gpu_dec_utilization|gpu0|GPU|GPUSampler|%
Metric|gpu_dec_utilization|gpu1|GPU|GPUSampler|%
Metric|gpu_dec_utilization|gpu2|GPU|GPUSampler|%
Metric|gpu_dec_utilization|gpu3|GPU|GPUSampler|%
Metric|gpu_ecc_dbe_agg|gpu0|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_agg|gpu1|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_agg|gpu2|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_agg|gpu3|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_vol|gpu0|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_vol|gpu1|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_vol|gpu2|GPU|GPUSampler|count
Metric|gpu_ecc_dbe_vol|gpu3|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_agg|gpu0|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_agg|gpu1|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_agg|gpu2|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_agg|gpu3|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_vol|gpu0|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_vol|gpu1|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_vol|gpu2|GPU|GPUSampler|count
Metric|gpu_ecc_sbe_vol|gpu3|GPU|GPUSampler|count
Metric|gpu_enc_utilization|average|GPU|GPUSampler|%
Metric|gpu_enc_utilization|gpu0|GPU|GPUSampler|%
Metric|gpu_enc_utilization|gpu1|GPU|GPUSampler|%
Metric|gpu_enc_utilization|gpu2|GPU|GPUSampler|%
Metric|gpu_enc_utilization|gpu3|GPU|GPUSampler|%
Metric|gpu_enforced_power_limit|gpu0|GPU|GPUSampler|W
Metric|gpu_enforced_power_limit|gpu1|GPU|GPUSampler|W
Metric|gpu_enforced_power_limit|gpu2|GPU|GPUSampler|W
Metric|gpu_enforced_power_limit|gpu3|GPU|GPUSampler|W
Metric|gpu_mem_clock|gpu0|GPU|GPUSampler|Hz
Metric|gpu_mem_clock|gpu1|GPU|GPUSampler|Hz
Metric|gpu_mem_clock|gpu2|GPU|GPUSampler|Hz
Metric|gpu_mem_clock|gpu3|GPU|GPUSampler|Hz
Metric|gpu_mem_copy_utilization|average|GPU|GPUSampler|%
Metric|gpu_mem_copy_utilization|gpu0|GPU|GPUSampler|%
Metric|gpu_mem_copy_utilization|gpu1|GPU|GPUSampler|%
Metric|gpu_mem_copy_utilization|gpu2|GPU|GPUSampler|%
Metric|gpu_mem_copy_utilization|gpu3|GPU|GPUSampler|%
Metric|gpu_mem_free|gpu0|GPU|GPUSampler|bytes
Metric|gpu_mem_free|gpu1|GPU|GPUSampler|bytes
Metric|gpu_mem_free|gpu2|GPU|GPUSampler|bytes
Metric|gpu_mem_free|gpu3|GPU|GPUSampler|bytes
Metric|gpu_mem_total|gpu0|GPU|GPUSampler|bytes
Metric|gpu_mem_total|gpu1|GPU|GPUSampler|bytes
Metric|gpu_mem_total|gpu2|GPU|GPUSampler|bytes
Metric|gpu_mem_total|gpu3|GPU|GPUSampler|bytes
Metric|gpu_mem_total|total|GPU|GPUSampler|bytes
Metric|gpu_mem_used|gpu0|GPU|GPUSampler|bytes
Metric|gpu_mem_used|gpu1|GPU|GPUSampler|bytes
Metric|gpu_mem_used|gpu2|GPU|GPUSampler|bytes
Metric|gpu_mem_used|gpu3|GPU|GPUSampler|bytes
Metric|gpu_mem_used|total|GPU|GPUSampler|bytes
Metric|gpu_mem_utilization|average|GPU|GPUSampler|%
Metric|gpu_mem_utilization|gpu0|GPU|GPUSampler|%
Metric|gpu_mem_utilization|gpu1|GPU|GPUSampler|%
Metric|gpu_mem_utilization|gpu2|GPU|GPUSampler|%
Metric|gpu_mem_utilization|gpu3|GPU|GPUSampler|%
Metric|gpu_memory_temp|average|GPU|GPUSampler|C
Metric|gpu_memory_temp|gpu0|GPU|GPUSampler|C
Metric|gpu_memory_temp|gpu1|GPU|GPUSampler|C
Metric|gpu_memory_temp|gpu2|GPU|GPUSampler|C
Metric|gpu_memory_temp|gpu3|GPU|GPUSampler|C
Metric|gpu_nvlink_total_bandwidth|gpu0|GPU|GPUSampler|bytes_s
Metric|gpu_nvlink_total_bandwidth|gpu1|GPU|GPUSampler|bytes_s
Metric|gpu_nvlink_total_bandwidth|gpu2|GPU|GPUSampler|bytes_s
Metric|gpu_nvlink_total_bandwidth|gpu3|GPU|GPUSampler|bytes_s
Metric|gpu_nvlink_total_bandwidth|total|GPU|GPUSampler|bytes_s
Metric|gpu_power_management_limit|gpu0|GPU|GPUSampler|W
Metric|gpu_power_management_limit|gpu1|GPU|GPUSampler|W
Metric|gpu_power_management_limit|gpu2|GPU|GPUSampler|W
Metric|gpu_power_management_limit|gpu3|GPU|GPUSampler|W
Metric|gpu_power_usage|gpu0|GPU|GPUSampler|W
Metric|gpu_power_usage|gpu1|GPU|GPUSampler|W
Metric|gpu_power_usage|gpu2|GPU|GPUSampler|W
Metric|gpu_power_usage|gpu3|GPU|GPUSampler|W
Metric|gpu_power_usage|total|GPU|GPUSampler|W
Metric|gpu_shutdown_temp|gpu0|GPU|GPUSampler|C
Metric|gpu_shutdown_temp|gpu1|GPU|GPUSampler|W
Metric|gpu_shutdown_temp|gpu2|GPU|GPUSampler|W
Metric|gpu_shutdown_temp|gpu3|GPU|GPUSampler|W
Metric|gpu_slowdown_temp|gpu0|GPU|GPUSampler|W
Metric|gpu_slowdown_temp|gpu1|GPU|GPUSampler|W
Metric|gpu_slowdown_temp|gpu2|GPU|GPUSampler|W
Metric|gpu_slowdown_temp|gpu3|GPU|GPUSampler|W
Metric|gpu_sm_clock|gpu0|GPU|GPUSampler|Hz
Metric|gpu_sm_clock|gpu1|GPU|GPUSampler|Hz
Metric|gpu_sm_clock|gpu2|GPU|GPUSampler|Hz
Metric|gpu_sm_clock|gpu3|GPU|GPUSampler|Hz
Metric|gpu_temperature|average|GPU|GPUSampler|C
Metric|gpu_temperature|gpu0|GPU|GPUSampler|C
Metric|gpu_temperature|gpu1|GPU|GPUSampler|C
Metric|gpu_temperature|gpu2|GPU|GPUSampler|C
Metric|gpu_temperature|gpu3|GPU|GPUSampler|C
Metric|gpu_utilization|average|GPU|GPUSampler|%
Metric|gpu_utilization|gpu0|GPU|GPUSampler|%
Metric|gpu_utilization|gpu1|GPU|GPUSampler|%
Metric|gpu_utilization|gpu2|GPU|GPUSampler|%
Metric|gpu_utilization|gpu3|GPU|GPUSampler|%
Metric|gpu_xid_error|gpu0|GPU|GPUSampler|count
Metric|gpu_xid_error|gpu1|GPU|GPUSampler|count
Metric|gpu_xid_error|gpu2|GPU|GPUSampler|count
Metric|gpu_x id_error|gpu3|GPU|GPUSampler|count
